x	y	feature
4049.9468	2933.3953	Spag16
4177.044	2902.4653	Spag16
3664.1946	3164.2659	Nts
3850.9167	2915.692	Nts
3880.7395	3223.9722	Nts
3917.5933	2929.6511	Nts
4019.9602	2790.2195	Nts
4168.264	3002.7036	Nts
4200.6865	2833.9543	Nts
4211.9517	2872.804	Nts
4213.881	2875.2075	Nts
3644.3633	2766.25	Nts
3672.1914	3318.884	Nts
3688.6926	3222.6821	Nts
3744.1055	2889.7524	Nts
3758.797	3442.0752	Nts
3758.8352	3443.0142	Nts
3809.7788	3245.9116	Nts
3838.2766	3296.8704	Nts
3896.679	3430.8875	Nts
3984.2358	3490.3528	Nts
4009.8816	2813.393	Nts
4034.0962	2805.6274	Nts
4213.559	3428.5757	Nts
4220.3003	3236.9585	Nts
4225.428	3234.1792	Nts
3640.3267	2796.1187	Trp73
3679.996	2881.96	Trp73
3686.9968	2961.6174	Trp73
3688.9585	2867.5896	Trp73
3730.2178	2918.5166	Trp73
3736.844	3397.1099	Trp73
3775.5757	2831.695	Trp73
3776.4045	2865.832	Trp73
3814.6675	3129.8618	Spag16
3847.285	3087.868	Trp73
3857.0718	2807.6086	Trp73
3886.1501	3455.9922	Spag16
3909.498	3408.167	Trp73
3916.1785	2822.641	Spag16
3917.3093	2952.0825	Trp73
4022.8352	2831.9148	Spag16
4028.4243	3078.266	Trp73
4030.3806	3111.1187	Trp73
4034.952	3110.356	Trp73
4045.0781	2714.1624	Trp73
4074.7642	2816.729	Trp73
4149.162	3100.4797	Trp73
4149.978	3101.9712	Trp73
4152.7114	3102.9077	Trp73
4154.8257	3103.6753	Trp73
4158.834	2823.776	Trp73
3682.7246	3082.1023	Ebf3
3684.493	2759.5603	Ebf3
3698.4897	3520.2703	Ebf3
3754.9863	3439.4573	Ebf3
3798.5703	2782.2214	Ebf3
3950.581	3099.9424	Ebf3
3951.8608	3270.4739	Ebf3
4110.729	3289.0884	Ebf3
4136.7603	3127.7964	Ebf3
4137.612	3116.5034	Ebf3
4152.741	3099.391	Ebf3
4154.2183	3106.6887	Ebf3
4157.569	3103.355	Ebf3
4181.3604	3130.8777	Ebf3
4181.577	3222.1394	Ebf3
4221.858	3150.1997	Ebf3
3632.3367	3294.7446	Ano1
3697.483	3249.1694	Ano1
3697.564	3115.2544	Ano1
3708.6062	3057.0896	Chat
3744.725	2730.726	Ano1
3746.4119	3425.216	Chat
3763.0142	2781.936	Ano1
3769.6418	3011.9932	Chat
3784.3823	3335.854	Chat
3833.9897	3206.7366	Ano1
3853.2212	2832.5415	Ano1
3856.6016	2923.9578	Ano1
3857.1753	2922.673	Ano1
3865.0269	2665.288	Ano1
3876.8896	2885.8416	Chat
3912.804	3146.5696	Ano1
3941.7476	2851.5405	Ano1
3945.3816	2831.8735	Ano1
3993.996	3138.774	Ano1
4005.959	2813.9294	Ano1
4009.3828	2811.6147	Ano1
4016.8242	3281.0046	Chat
4029.702	3389.132	Ano1
4036.1704	3315.733	Ano1
4043.0437	3422.1492	Ano1
4081.3472	3335.8413	Ano1
4091.9714	3303.219	Ano1
4101.9346	3286.2922	Ano1
4104.0786	3133.2935	Ano1
4113.7705	2721.6729	Ano1
4115.237	2722.763	Ano1
4116.396	2721.815	Ano1
4119.9375	3238.6477	Ano1
4135.4062	3158.5103	Ano1
4139.165	3419.8445	Ano1
4155.324	3167.3552	Ano1
4163.82	2908.1821	Chat
4164.3374	3168.4138	Ano1
4164.5503	2908.2097	Chat
4171.751	3176.4565	Ano1
4188.0557	3249.1348	Ano1
4190.771	3076.2659	Ano1
4196.7217	3318.793	Ano1
4221.8896	3328.666	Ano1
4224.5674	3158.3794	Ano1
4234.1377	3329.8506	Ano1
3652.2754	2977.1155	Ano1
3696.5024	3072.1736	Ano1
3778.6802	3034.4834	Ano1
3805.2185	3090	Ano1
3858.0576	3100.4158	Ano1
3901.3093	2717.55	Ano1
3940.7083	2852.537	Ano1
4111.8267	2721.5972	Ano1
4114.7725	2720.3125	Ano1
4188.8545	2923.6138	Ano1
4189.69	2899.0884	Ano1
4220.566	3160.3389	Ano1
4235.9043	3180.1643	Ano1
3664.649	3491.1855	Ano1
3665.101	3488.8757	Ano1
3695.4812	3450.1821	Ano1
3697.5156	3071.537	Ano1
3718.7695	3072.6277	Ano1
3798.5515	3086.48	Ano1
3801.9448	3088.073	Ano1
3803.4187	3341.7761	Ano1
3811.9238	3202.0386	Ano1
3834.899	2966.3374	Ano1
3857.4126	2921.7854	Ano1
3899.4233	3380.183	Ano1
3901.36	2683.5232	Ano1
3901.851	3115.131	Ano1
3945.4563	2830.5464	Ano1
3946.0386	2832.5417	Ano1
3953.9019	2895.6458	Ano1
3975.7588	3442.0583	Ano1
3977.7502	2843.5737	Ano1
3988.7498	3119.9365	Ano1
3989.8071	3117.2324	Ano1
3992.3833	2837.099	Ano1
3998.5044	3230.0703	Ano1
4026.8613	3124.878	Ano1
4046.4595	3489.446	Ano1
4102.2295	2931.1047	Ano1
4130.9526	3149.1296	Ano1
4138.4136	3192.531	Ano1
4172.003	2673.7195	Ano1
4173.409	3388.9976	Ano1
4173.589	3389.9653	Ano1
4189.6978	3175.019	Ano1
4205.4688	3158.8162	Ano1
4210.319	3157.0247	Ano1
4221.7715	3327.0476	Ano1
4224.1157	3161.8174	Ano1
3632.3428	2932.9873	Trp73
3660.4473	2896.5632	Trp73
3722.8289	2918.177	Trp73
3736.3838	2775.6826	Trp73
3745.5422	2893.7014	Trp73
3755.552	2859.3357	Trp73
3776.31	2877.622	Trp73
3793.277	2867.9727	Trp73
3804.1062	2791.9563	Trp73
3826.098	2883.3855	Trp73
3836.812	2844.9346	Trp73
3854.433	2876.1062	Trp73
3880.1167	3055.1704	Trp73
3887.235	2872.933	Trp73
3957.8542	3103.2812	Trp73
4077.964	2736.0923	Trp73
4082.151	3014.2505	Trp73
4151.4014	3102.1963	Trp73
4153.6484	3101.1611	Trp73
4154.903	3106.862	Trp73
4155.2485	3104.8748	Trp73
4157.199	3099.9543	Trp73
4227.9893	3001.7239	Trp73
3714.8413	2805.1538	Spag16
3726.4575	3293.441	Spag16
4081.3125	2857.9888	Spag16
4099.9316	2782.7332	Spag16
4149.9272	2974.8118	Spag16
3822.0715	3422.8306	Chat
4183.523	2931.577	Chat
3681.935	3187.6758	Spag16
4082.6829	3499.5796	Spag16
4116.3223	2947.918	Spag16
3644.8167	2648.0918	Ebf3
3675.942	3299.1453	Ebf3
3690.8691	3025.7705	Ebf3
3723.6265	2813.7407	Ebf3
3824.7485	2801.0164	Ebf3
3868.9087	3333.398	Ebf3
3947.892	3071.001	Ebf3
3949.2522	3106.996	Ebf3
3949.583	3103.719	Ebf3
3950.6787	3101.476	Ebf3
3960.3203	3108.8923	Ebf3
4012.2231	3101.0723	Ebf3
4024.7695	2915.8196	Ebf3
4039.44	2930.7664	Ebf3
4065.7473	2816.4905	Ebf3
4151.6567	2949.9302	Ebf3
4152.4634	3100.849	Ebf3
4154.9834	3104.344	Ebf3
4158.219	2928.7388	Ebf3
4189.5537	3472.5566	Ebf3
4201.4697	2716.14	Ebf3
4218.413	3500.9092	Ebf3
3754.9116	2780.2441	Nts
3888.1418	3362.8257	Nts
3893.9973	3323.401	Nts
3916.5435	3268.2642	Nts
3930.6924	2914.757	Nts
3936.9285	2938.631	Nts
4004.4956	2815.0776	Nts
4006.8667	2815.4597	Nts
4038.649	3514.3782	Nts
4040.5652	3492.8289	Nts
4054.4216	3172.653	Nts
4228.5674	3015.0117	Nts
3667.266	3328.9094	Ebf3
3699.5688	2916.8435	Ebf3
3703.9993	2674.2546	Ebf3
3724.254	2812.6897	Ebf3
3780.743	2749.0344	Ebf3
3814.7566	3456.2007	Ebf3
3845.7495	3241.535	Ebf3
3998.7202	3314.0242	Ebf3
4029.4946	3455.317	Ebf3
4034.8523	3403.8965	Ebf3
4071.4832	3504.5476	Ebf3
4092.4805	3146.2178	Ebf3
4115.535	2751.8823	Ebf3
4154.237	3032.727	Ebf3
4203.727	3481.6133	Ebf3
4220.9272	3149.105	Ebf3
4178.1416	2877.502	Spag16
3746.1223	2886.6475	Nts
4040.8093	3517.6875	Nts
4098.34	3496.811	Nts
4126.3584	3445.153	Chat
4187.0713	3453.3594	Nts
4220.1978	3150.6504	Chat
4240.803	2958.084	Nts
3720.8367	2993.0364	Chat
3726.3943	2900.1228	Chat
3802.6687	3498.0728	Chat
3894.8228	3439.6868	Chat
4240.3813	2659.0288	Chat
3639.7634	3058.43	Ano1
3643.7942	3068.056	Ano1
3691.041	3385.966	Ano1
3694.8079	3246.5376	Ano1
3696.0425	3249.0554	Ano1
3697.0566	3251.3728	Ano1
3700.8818	2736.1262	Ano1
3758.946	3439.3455	Ebf3
3761.7212	3351.275	Ebf3
3805.8247	3091.0664	Ano1
3836.0696	3075.4004	Ebf3
3869.8315	3333.0774	Ebf3
3909.291	3142.3066	Ebf3
3910.0574	2830.8079	Ebf3
3913.9927	2807.6348	Ano1
3914.4453	3417.0288	Ano1
3916.6968	2671.8425	Ebf3
3949.8335	3107.1821	Ebf3
3955.1685	2824.2983	Ano1
3956.141	3101.345	Ebf3
3958.3467	3102.5676	Ebf3
3973.8882	2845.7065	Ebf3
3974.3022	2804.7195	Ebf3
4001.2317	3500.9858	Ebf3
4023.2898	3135.0562	Ano1
4033.675	3111.2605	Ebf3
4044.1938	3486.393	Ebf3
4066.1138	2917.7896	Ano1
